Year,CO2 in Parts Per Million
1959M03,316.65
1959M03,0.3
1959M04,317.72
1959M04,0.09
1959M05,318.29
1959M05,0.25
1959M06,318.15
1959M06,0.29
1959M07,316.54
1959M07,0.22
1959M08,314.8
1959M08,-0.04
1959M09,313.84
1959M09,0.2
1959M10,313.33
1959M10,0.29
1959M11,314.81
1959M11,0.47
1959M12,315.58
1959M12,0.29
1960M01,316.43
1960M01,0.27
1960M02,316.98
1960M02,0.16
1960M03,317.58
1960M03,0.29
1960M04,319.03
1960M04,0.41
1960M05,320.04
1960M05,0.55
1960M06,319.59
1960M06,0.45
1960M07,318.18
1960M07,0.52
1960M08,315.9
1960M08,0.35
1960M09,314.17
1960M09,0.11
1960M10,313.83
1960M10,0.16
1960M11,315
1960M11,0.06
1960M12,316.19
1960M12,0.19
1961M01,316.89
1961M01,0.15
1961M02,317.7
1961M02,0.23
1961M03,318.54
1961M03,0.3
1961M04,319.48
1961M04,0.14
1961M05,320.58
1961M05,0.17
1961M06,319.77
1961M06,0.06
1961M07,318.57
1961M07,0.12
1961M08,316.79
1961M08,0.28
1961M09,314.99
1961M09,0.26
1961M10,315.31
1961M10,0.47
1961M11,316.1
1961M11,0.35
1961M12,317.01
1961M12,0.26
1962M01,317.94
1962M01,0.33
1962M02,318.55
1962M02,0.27
1962M03,319.68
1962M03,0.36
1962M04,320.57
1962M04,0.34
1962M05,321.02
1962M05,0.14
1962M06,320.62
1962M06,0.27
1962M07,319.61
1962M07,0.33
1962M08,317.4
1962M08,0.19
1962M09,316.25
1962M09,0.4
1962M10,315.42
1962M10,0.03
1962M11,316.69
1962M11,0.19
1962M12,317.7
1962M12,0.22
1963M01,318.74
1963M01,0.25
1963M02,319.07
1963M02,0.16
1963M03,319.86
1963M03,0.06
1963M04,321.38
1963M04,0.25
1963M05,322.25
1963M05,0.38
1963M06,321.48
1963M06,0.27
1963M07,319.74
1963M07,0.04
1963M08,317.77
1963M08,0.12
1963M09,316.21
1963M09,-0.01
1963M10,315.99
1963M10,0.18
1963M11,317.07
1963M11,0.12
1963M12,318.35
1963M12,0.2
1964M01,319.57
1964M01,0.26
1964M02,320.01
1964M02,0.29
1964M03,320.74
1964M03,0.28
1964M04,321.84
1964M04,0.14
1964M05,322.26
1964M05,0
1964M06,321.89
1964M06,0.13
1964M07,320.44
1964M07,0.22
1964M08,318.69
1964M08,0.29
1964M09,316.7
1964M09,0.15
1964M10,316.87
1964M10,0.28
1964M11,317.68
1964M11,0.19
1964M12,318.71
1964M12,0.11
1965M01,319.44
1965M01,-0.04
1965M02,320.44
1965M02,0.13
1965M03,320.89
1965M03,0.05
1965M04,322.14
1965M04,0.09
1965M05,322.17
1965M05,-0.03
1965M06,321.87
1965M06,-0.01
1965M07,321.21
1965M07,0.24
1965M08,318.87
1965M08,0.06
1965M09,317.81
1965M09,0.35
1965M10,317.3
1965M10,0.14
1965M11,318.87
1965M11,0.37
1965M12,319.42
1965M12,0.22
1966M01,320.62
1966M01,0.37
1966M02,321.6
1966M02,0.36
1966M03,322.39
1966M03,0.47
1966M04,323.7
1966M04,0.48
1966M05,324.08
1966M05,0.59
1966M06,323.75
1966M06,0.58
1966M07,322.38
1966M07,0.36
1966M08,320.36
1966M08,0.47
1966M09,318.64
1966M09,0.26
1966M10,318.1
1966M10,0.25
1966M11,319.78
1966M11,0.29
1966M12,321.03
1966M12,0.5
1967M01,322.33
1967M01,0.53
1967M02,322.5
1967M02,0.28
1967M03,323.04
1967M03,0.2
1967M04,324.42
1967M04,0.22
1967M05,325
1967M05,0.28
1967M06,324.09
1967M06,0.11
1967M07,322.54
1967M07,0.05
1967M08,320.92
1967M08,0.17
1967M09,319.25
1967M09,0.19
1967M10,319.39
1967M10,0.41
1967M11,320.73
1967M11,0.3
1967M12,321.96
1967M12,0.29
1968M01,322.57
1968M01,0.07
1968M02,323.15
1968M02,0.2
1968M03,323.89
1968M03,0.26
1968M04,325.02
1968M04,0.18
1968M05,325.57
1968M05,0.18
1968M06,325.36
1968M06,0.39
1968M07,324.14
1968M07,0.5
1968M08,322.11
1968M08,0.37
1968M09,320.33
1968M09,0.34
1968M10,320.25
1968M10,0.27
1968M11,321.32
1968M11,0.18
1968M12,322.89
1968M12,0.29
1969M01,324
1969M01,0.44
1969M02,324.42
1969M02,0.39
1969M03,325.63
1969M03,0.54
1969M04,326.66
1969M04,0.5
1969M05,327.38
1969M05,0.56
1969M06,326.71
1969M06,0.41
1969M07,325.88
1969M07,0.54
1969M08,323.66
1969M08,0.48
1969M09,322.38
1969M09,0.64
1969M10,321.78
1969M10,0.48
1969M11,322.86
1969M11,0.48
1969M12,324.12
1969M12,0.38
1970M01,325.06
1970M01,0.33
1970M02,325.98
1970M02,0.48
1970M03,326.93
1970M03,0.4
1970M04,328.13
1970M04,0.45
1970M05,328.08
1970M05,0.21
1970M06,327.67
1970M06,0.29
1970M07,326.34
1970M07,0.14
1970M08,324.69
1970M08,0.32
1970M09,323.1
1970M09,0.22
1970M10,323.06
1970M10,0.4
1970M11,324.01
1970M11,0.36
1970M12,325.13
1970M12,0.31
1971M01,326.17
1971M01,0.34
1971M02,326.68
1971M02,0.21
1971M03,327.17
1971M03,0.07
1971M04,327.79
1971M04,-0.1
1971M05,328.93
1971M05,0.26
1971M06,328.57
1971M06,0.27
1971M07,327.36
1971M07,0.31
1971M08,325.43
1971M08,0.23
1971M09,323.36
1971M09,0.08
1971M10,323.56
1971M10,0.15
1971M11,324.8
1971M11,0.24
1971M12,326.01
1971M12,0.27
1972M01,326.77
1972M01,0.18
1972M02,327.63
1972M02,0.29
1972M03,327.75
1972M03,0.18
1972M04,329.72
1972M04,0.59
1972M05,330.07
1972M05,0.35
1972M06,329.09
1972M06,0.16
1972M07,328.04
1972M07,0.21
1972M08,326.32
1972M08,0.27
1972M09,324.84
1972M09,0.46
1972M10,325.2
1972M10,0.51
1972M11,326.5
1972M11,0.52
1972M12,327.55
1972M12,0.47
1973M01,328.55
1973M01,0.54
1973M02,329.56
1973M02,0.59
1973M03,330.3
1973M03,0.78
1973M04,331.5
1973M04,0.54
1973M05,332.48
1973M05,0.73
1973M06,332.07
1973M06,0.91
1973M07,330.87
1973M07,0.86
1973M08,329.31
1973M08,0.92
1973M09,327.51
1973M09,0.82
1973M10,327.18
1973M10,0.61
1973M11,328.16
1973M11,0.51
1973M12,328.64
1973M12,0.33
1974M01,329.35
1974M01,0.24
1974M02,330.71
1974M02,0.35
1974M03,331.48
1974M03,0.36
1974M04,332.65
1974M04,0.35
1974M05,333.18
1974M05,0.21
1974M06,332.2
1974M06,0.04
1974M07,331.07
1974M07,0.06
1974M08,329.15
1974M08,-0.05
1974M09,327.33
1974M09,-0.05
1974M10,327.28
1974M10,0.03
1974M11,328.31
1974M11,0.05
1974M12,329.58
1974M12,0.29
1975M01,330.73
1975M01,0.42
1975M02,331.46
1975M02,0.23
1975M03,331.94
1975M03,0.14
1975M04,333.11
1975M04,0.14
1975M05,333.95
1975M05,0.23
1975M06,333.42
1975M06,0.37
1975M07,331.97
1975M07,0.27
1975M08,329.95
1975M08,0.24
1975M09,328.5
1975M09,0.36
1975M10,328.36
1975M10,0.33
1975M11,329.38
1975M11,0.33
1975M12,330.78
1975M12,0.36
1976M01,331.56
1976M01,0.25
1976M02,332.74
1976M02,0.39
1976M03,333.36
1976M03,0.43
1976M04,334.74
1976M04,0.49
1976M05,334.72
1976M05,0.23
1976M06,333.98
1976M06,0.17
1976M07,333.08
1976M07,0.33
1976M08,330.68
1976M08,0.22
1976M09,328.96
1976M09,0.14
1976M10,328.72
1976M10,0.11
1976M11,330.16
1976M11,0.24
1976M12,331.62
1976M12,0.25
1977M01,332.68
1977M01,0.34
1977M02,333.17
1977M02,0.13
1977M03,334.96
1977M03,0.48
1977M04,336.14
1977M04,0.42
1977M05,336.93
1977M05,0.66
1977M06,336.17
1977M06,0.66
1977M07,334.89
1977M07,0.54
1977M08,332.56
1977M08,0.57
1977M09,331.29
1977M09,0.71
1977M10,331.28
1977M10,0.78
1977M11,332.46
1977M11,0.7
1977M12,333.6
1977M12,0.6
1978M01,334.94
1978M01,0.68
1978M02,335.26
1978M02,0.63
1978M03,336.66
1978M03,0.51
1978M04,337.69
1978M04,0.46
1978M05,338.02
1978M05,0.32
1978M06,338.01
1978M06,0.55
1978M07,336.5
1978M07,0.48
1978M08,334.42
1978M08,0.56
1978M09,332.36
1978M09,0.32
1978M10,332.45
1978M10,0.35
1978M11,333.76
1978M11,0.39
1978M12,334.91
1978M12,0.39
1979M01,336.14
1979M01,0.36
1979M02,336.69
1979M02,0.43
1979M03,338.27
1979M03,0.48
1979M04,338.82
1979M04,0.33
1979M05,339.24
1979M05,0.36
1979M06,339.26
1979M06,0.37
1979M07,337.54
1979M07,0.31
1979M08,335.72
1979M08,0.39
1979M09,333.97
1979M09,0.48
1979M10,334.24
1979M10,0.54
1979M11,335.32
1979M11,0.47
1979M12,336.81
1979M12,0.57
1980M01,337.9
1980M01,0.52
1980M02,338.34
1980M02,0.49
1980M03,340.07
1980M03,0.53
1980M04,340.93
1980M04,0.62
1980M05,341.45
1980M05,0.65
1980M06,341.36
1980M06,0.62
1980M07,339.45
1980M07,0.57
1980M08,337.67
1980M08,0.58
1980M09,336.25
1980M09,0.68
1980M10,336.14
1980M10,0.57
1980M11,337.3
1980M11,0.59
1980M12,338.29
1980M12,0.44
1981M01,339.29
1981M01,0.41
1981M02,340.55
1981M02,0.65
1981M03,341.63
1981M03,0.46
1981M04,342.6
1981M04,0.49
1981M05,343.04
1981M05,0.47
1981M06,342.54
1981M06,0.35
1981M07,340.82
1981M07,0.4
1981M08,338.48
1981M08,0.24
1981M09,336.95
1981M09,0.21
1981M10,337.05
1981M10,0.27
1981M11,338.58
1981M11,0.38
1981M12,339.91
1981M12,0.48
1982M01,340.93
1982M01,0.48
1982M02,341.76
1982M02,0.36
1982M03,342.78
1982M03,0.34
1982M04,343.96
1982M04,0.4
1982M05,344.77
1982M05,0.5
1982M06,343.88
1982M06,0.39
1982M07,342.42
1982M07,0.47
1982M08,340.24
1982M08,0.52
1982M09,338.38
1982M09,0.42
1982M10,338.41
1982M10,0.4
1982M11,339.44
1982M11,0.25
1982M12,340.78
1982M12,0.26
1983M01,341.57
1983M01,0.19
1983M02,342.79
1983M02,0.3
1983M03,343.37
1983M03,0.17
1983M04,345.39
1983M04,0.42
1983M05,346.14
1983M05,0.4
1983M06,345.76
1983M06,0.55
1983M07,344.32
1983M07,0.55
1983M08,342.51
1983M08,0.67
1983M09,340.46
1983M09,0.61
1983M10,340.53
1983M10,0.63
1983M11,341.79
1983M11,0.69
1983M12,343.2
1983M12,0.71
1984M01,344.21
1984M01,0.77
1984M02,344.92
1984M02,0.62
1984M03,345.68
1984M03,0.67
1984M04,347.38
1984M04,0.58
1984M05,347.78
1984M05,0.47
1984M06,347.16
1984M06,0.4
1984M07,345.79
1984M07,0.43
1984M08,343.74
1984M08,0.36
1984M09,341.59
1984M09,0.33
1984M10,341.86
1984M10,0.39
1984M11,343.31
1984M11,0.44
1984M12,345
1984M12,0.52
1985M01,345.48
1985M01,0.37
1985M02,346.42
1985M02,0.43
1985M03,347.91
1985M03,0.65
1985M04,348.66
1985M04,0.37
1985M05,349.28
1985M05,0.43
1985M06,348.65
1985M06,0.43
1985M07,346.9
1985M07,0.32
1985M08,345.26
1985M08,0.44
1985M09,343.47
1985M09,0.55
1985M10,343.35
1985M10,0.44
1985M11,344.73
1985M11,0.41
1985M12,346.12
1985M12,0.32
1986M01,346.78
1986M01,0.38
1986M02,347.48
1986M02,0.31
1986M03,348.25
1986M03,0.1
1986M04,349.86
1986M04,0.34
1986M05,350.52
1986M05,0.36
1986M06,349.98
1986M06,0.38
1986M07,348.25
1986M07,0.39
1986M08,346.17
1986M08,0.26
1986M09,345.48
1986M09,0.59
1986M10,344.82
1986M10,0.43
1986M11,346.22
1986M11,0.43
1986M12,347.49
1986M12,0.4
1987M01,348.73
1987M01,0.56
1987M02,348.92
1987M02,0.41
1987M03,349.81
1987M03,0.45
1987M04,351.4
1987M04,0.44
1987M05,352.15
1987M05,0.47
1987M06,351.58
1987M06,0.46
1987M07,350.21
1987M07,0.56
1987M08,348.2
1987M08,0.59
1987M09,346.66
1987M09,0.34
1987M10,346.72
1987M10,0.55
1987M11,348.08
1987M11,0.54
1987M12,349.28
1987M12,0.52
1988M01,350.51
1988M01,0.51
1988M02,351.7
1988M02,0.8
1988M03,352.5
1988M03,0.77
1988M04,353.67
1988M04,0.65
1988M05,354.35
1988M05,0.62
1988M06,353.88
1988M06,0.65
1988M07,352.8
1988M07,0.74
1988M08,350.49
1988M08,0.66
1988M09,348.97
1988M09,0.67
1988M10,349.37
1988M10,0.76
1988M11,350.42
1988M11,0.67
1988M12,351.62
1988M12,0.67
1989M01,353.07
1989M01,0.73
1989M02,353.43
1989M02,0.49
1989M03,354.08
1989M03,0.45
1989M04,355.72
1989M04,0.58
1989M05,355.95
1989M05,0.45
1989M06,355.44
1989M06,0.44
1989M07,354.05
1989M07,0.35
1989M08,351.84
1989M08,0.39
1989M09,350.09
1989M09,0.32
1989M10,350.33
1989M10,0.27
1989M11,351.55
1989M11,0.32
1989M12,352.91
1989M12,0.37
1990M01,353.86
1990M01,0.22
1990M02,355.1
1990M02,0.47
1990M03,355.75
1990M03,0.47
1990M04,356.38
1990M04,0.19
1990M05,357.38
1990M05,0.4
1990M06,356.39
1990M06,0.27
1990M07,354.89
1990M07,0.24
1990M08,353.06
1990M08,0.35
1990M09,351.38
1990M09,0.37
1990M10,351.69
1990M10,0.39
1990M11,353.14
1990M11,0.45
1990M12,354.41
1990M12,0.43
1991M01,354.93
1991M01,0.3
1991M02,355.82
1991M02,0.2
1991M03,357.33
1991M03,0.44
1991M04,358.77
1991M04,0.67
1991M05,359.23
1991M05,0.52
1991M06,358.23
1991M06,0.52
1991M07,356.3
1991M07,0.4
1991M08,353.97
1991M08,0.26
1991M09,352.34
1991M09,0.27
1991M10,352.43
1991M10,0.21
1991M11,353.89
1991M11,0.21
1991M12,355.21
1991M12,0.23
1992M01,356.34
1992M01,0.4
1992M02,357.21
1992M02,0.39
1992M03,357.97
1992M03,0.18
1992M04,359.22
1992M04,0.13
1992M05,359.71
1992M05,0.13
1992M06,359.44
1992M06,0.34
1992M07,357.15
1992M07,0.24
1992M08,354.99
1992M08,0.29
1992M09,353.01
1992M09,0.19
1992M10,353.41
1992M10,0.28
1992M11,354.42
1992M11,0.15
1992M12,355.68
1992M12,0.13
1993M01,357.1
1993M01,0.21
1993M02,357.42
1993M02,0.06
1993M03,358.59
