ObjectId,Indicator,Unit,Date,Value
1,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1958M03,315.7
2,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1958M04,317.45
3,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1958M05,317.51
4,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1958M06,317.24
5,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1958M07,315.86
6,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1958M08,314.93
7,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1958M09,313.2
8,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1958M10,312.43
9,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1958M11,313.33
10,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1958M12,314.67
11,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1959M01,315.58
12,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1959M02,316.48
13,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1959M03,316.65
14,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1959M03,0.3
15,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1959M04,317.72
16,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1959M04,0.09
17,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1959M05,318.29
18,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1959M05,0.25
19,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1959M06,318.15
20,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1959M06,0.29
21,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1959M07,316.54
22,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1959M07,0.22
23,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1959M08,314.8
